FileName,Reference,Types
NE9KL000C,"Burmeister, L.C., Convective Heat Transfer, New York, NY: Wiley-Interscience, 1993.",TRADITIONAL REF
NE9KL000C,"Heislbetz, B., Madlener, K., and Ciezki, H., Breakup Characteristics of a Newtonian Liquid Sheet Formed by a Doublet Impinging Jet Injector, in Proc. of 43th AIAA/ ASME/ SAE/ ASEE Joint Propulsion Confer- ence & Exhibit, p. 5694, 2007.",TRADITIONAL REF
NE9KL000C,"Hinze, J.O., Turbulence, New York, NY: McGraw-Hill, 1975.",TRADITIONAL REF
NE9KL000C,"Jyoti, B.V.S. and Baek, S.W., Rheological Characterization of Hydrogen Peroxide Gel Propellant, Int. J. Aeronaut. Space Sci., vol. 15, no. 2, pp. 199-204, 2014.",TRADITIONAL REF
NE9KL000C,"Modekurti, A., Numerical Investigation of Fluid Flow and Heat Transfer for Non -Newtonian Fluids Flow-ing through Twisted Ducts with Elliptical Cross -Section, MS, University of Cincinnati, Cincinnati, OH, 2017",TRADITIONAL REF
NE9KL000C,"Muller,< spacing diaeresis> T., Kadel, K., Habisreuther, P., Trimis, D., Zarzalis, N., Sanger,<spacing diaeresis> A., Jakobs, T., and Kolb, T., Sim- ulation of the Primary Jet Breakup of Non-Newtonian Fuels: Basic Research for Simulation-Assisted Design of Low-Grade Fuel Burner, in Proc. of ASME Turbo Expo 2018: Turbomachinery Technical Conference and Exposition, American Society of Mechanical Engineers Digital Collection, 2018.",TRADITIONAL REF
NE9KL000C,"Pope, S., Turbulent Flows, New York, NY: Cambridge University Press, 2000.",TRADITIONAL REF
NE9KL000C,"Schluter, <spacing diaeresis> J.U., Influence of Axisymmetric Assumptions on Large Eddy Simulations of a Confined Jet and a Swirl Flow, Int. J. Comput. Fluid Dyn., vol. 18, no. 3, pp. 235-245, 2004.",TRADITIONAL REF
NE9KL000C,"Shark, S., Sippel, T., Son, S., Heister, S., and Pourpoint, T., Theoretical Performance Analysis of Metal Hydride Fuel Additives for Rocket Propellant Applications, in Proc. of 47th AIAA/ ASME/ SAE/ ASEE Joint Propulsion Conference and Exhibit, p. 5556, 2011.",TRADITIONAL REF
NE9KL000C,"Smagorinsky, J., General Circulation Experiments with the Primitive Equation. I. The Basic Experiment. Mon. Weather Rev., vol. 91, no. 3, pp. 99-164, 1963.",TRADITIONAL REF
NE9KL000C,"Son, M., Correlations between Spray and Combustion Characteristics of a Movable Pintle Injector for Liquid Rocket Engines, Ph.D. Thesis, Korea Aerospace University, Goyang, Republic of Korea, 2017.",TRADITIONAL REF
NE9KL000C,"Yang, L.J., Du, M.L., Fu, Q.F., Tong, M.X., and Wang, F., Temporal Instability of a Power-Law Planer Liquid Sheet, J. Propul. Power, vol. 31, no. 1, pp. 286-293, 2015.",TRADITIONAL REF
NE9KL000C,"Yang, L.J., Fu, Q.F., Zhang, W., Du, M.L., and Tong, M.X., Atomization of Gelled Propellants from Swirl Injectors with Leaf Spring in Swirl Chamber, Atomization Sprays, vol. 21, no. 11, pp. 949-969, 2011.",TRADITIONAL REF
NE9KL000C,"Yang, L.J., Fu, Q.F., Zhang, W., Du, M.L., and Tong, M.X., Spray Characteristics of Gelled Propellants in Novel Impinging Jet Injector, J. Propul. Power, vol. 29, no. 1, pp. 104-113, 2013.",TRADITIONAL REF
